,model_id,gene_symbol,rsem_tpm,z_score,gene_expression_level
3979037,SIDM00920,EZH2,6.5942,0.8361182370056471,normal
3979097,SIDM00337,EZH2,5.9855,0.2849444514205057,normal
3979135,SIDM01059,EZH2,5.4699,-0.18192790581244822,normal
3979217,SIDM00881,EZH2,5.7671,0.0871847097221405,normal
3979353,SIDM00795,EZH2,5.6047,-0.05986740589972072,normal
3979379,SIDM00524,EZH2,6.7482,0.9755642087160328,normal
4007259,SIDM00892,RHEB,6.6038,-0.9528759799819682,normal
4007322,SIDM01056,RHEB,6.157,-1.5900782020936133,low
4007324,SIDM00716,RHEB,7.5989,0.46628232624743887,normal
4007328,SIDM00284,RHEB,7.6958,0.6044759147045077,normal
4007340,SIDM00870,RHEB,7.0247,-0.3526109502442959,normal
4007357,SIDM00890,RHEB,8.975,2.4288024199086635,high
4007465,SIDM01001,RHEB,7.0456,-0.3228044899888494,normal
4007622,SIDM00568,RHEB,6.7723,-0.7125703075875797,normal
4007813,SIDM01066,RHEB,8.0753,1.1456984825007692,high
4007843,SIDM00506,RHEB,7.6991,0.6091821979027352,normal
4007881,SIDM00910,RHEB,7.0139,-0.36801333162031685,normal
4007909,SIDM00920,RHEB,7.0067,-0.37828158587099575,normal
4007969,SIDM00337,RHEB,8.4211,1.6388599158181512,high
4008007,SIDM01059,RHEB,7.0976,-0.24864487595616072,normal
4008089,SIDM00881,RHEB,7.1993,-0.10360578466530475,normal
4008225,SIDM00795,RHEB,6.7641,-0.7242647082619659,normal
4008251,SIDM00524,RHEB,7.4824,0.3001362678857404,normal
5554317,SIDM00892,ZBTB17,4.1243,-0.5488667740763917,normal
5554380,SIDM01056,ZBTB17,3.9828,-0.7639243517526279,normal
5554382,SIDM00716,ZBTB17,3.6736,-1.2338593554098178,low
5554386,SIDM00284,ZBTB17,4.7236,0.3619742598555422,normal
5554398,SIDM00870,ZBTB17,4.7027,0.3302095717040696,normal
5554415,SIDM00890,ZBTB17,4.6082,0.1865845463301872,normal
5554523,SIDM01001,ZBTB17,3.9107,-0.8735049266675162,normal
5554680,SIDM00568,ZBTB17,4.0892,-0.602213212072405,normal
5554871,SIDM01066,ZBTB17,4.1985,-0.43609453193097253,normal
5554901,SIDM00506,ZBTB17,6.223,2.640824662454475,high
5554939,SIDM00910,ZBTB17,3.842,-0.9779180403520209,normal
5554967,SIDM00920,ZBTB17,4.9064,0.6398012930655487,normal
5555027,SIDM00337,ZBTB17,4.0764,-0.6216671837632595,normal
5555065,SIDM01059,ZBTB17,4.2854,-0.3040203022485347,normal
5555147,SIDM00881,ZBTB17,4.6328,0.2239726481735463,normal
5555283,SIDM00795,ZBTB17,4.384,-0.15416392656742534,normal
5555309,SIDM00524,ZBTB17,5.3565,1.323881969475966,high
5987397,SIDM00892,MXI1,4.6531,-0.24255416554753118,normal
5987460,SIDM01056,MXI1,3.1779,-1.3581142747157857,low
5987462,SIDM00716,MXI1,3.843,-0.8551594017441169,normal
5987466,SIDM00284,MXI1,6.6177,1.2430948247398554,high
5987478,SIDM00870,MXI1,3.4983,-1.115824782458798,low
5987495,SIDM00890,MXI1,6.8162,1.3932023909477584,high
5987603,SIDM01001,MXI1,2.7225,-1.702492036182179,low
5987760,SIDM00568,MXI1,3.2943,-1.2700915003752322,low
5987951,SIDM01066,MXI1,5.2005,0.17139486086156736,normal
5987981,SIDM00506,MXI1,2.1408,-2.142379045064482,low
5988019,SIDM00910,MXI1,4.1506,-0.6225493898269837,normal
5988047,SIDM00920,MXI1,4.0566,-0.6936330735727912,normal
5988107,SIDM00337,MXI1,6.0292,0.7980655919270045,normal
5988145,SIDM01059,MXI1,6.7305,1.328395245234825,high
5988227,SIDM00881,MXI1,4.4229,-0.4166335697846056,normal
5988363,SIDM00795,MXI1,4.4957,-0.361581525351682,normal
5988389,SIDM00524,MXI1,5.3632,0.2944301304939393,normal
6130554,SIDM00892,APAF1,3.0179,-0.4330900763320151,normal
6130617,SIDM01056,APAF1,3.4236,0.030221038148600138,normal
6130619,SIDM00716,APAF1,2.6159,-0.8921757751764997,normal
6130623,SIDM00284,APAF1,3.9745,0.6593511662417008,normal
6130635,SIDM00870,APAF1,3.2141,-0.20902884719448295,normal
6130652,SIDM00890,APAF1,2.9873,-0.4680354056470432,normal
6130760,SIDM01001,APAF1,2.9126,-0.5533431213278467,normal
6130917,SIDM00568,APAF1,3.1985,-0.22684411311979136,normal
6131108,SIDM01066,APAF1,2.9891,-0.46597979804027656,normal
6131138,SIDM00506,APAF1,3.8135,0.4754884858587107,normal
6131176,SIDM00910,APAF1,3.5261,0.1472764713116839,normal
6131204,SIDM00920,APAF1,3.2824,-0.13102995855996005,normal
6131264,SIDM00337,APAF1,3.126,-0.3096394195034362,normal
6131302,SIDM01059,APAF1,3.0426,-0.40488257195027666,normal
6131384,SIDM00881,APAF1,3.2388,-0.18082134281274503,normal
6131520,SIDM00795,APAF1,2.98,-0.47637203649670656,normal
6131546,SIDM00524,APAF1,5.6968,2.6262250446493014,high
6163035,SIDM00892,SPOP,4.9406,-0.525976187328965,normal
6163098,SIDM01056,SPOP,4.5491,-1.0458993603693905,low
6163100,SIDM00716,SPOP,4.4614,-1.162367463244602,low
6163104,SIDM00284,SPOP,4.354,-1.3049977283392171,low
6163116,SIDM00870,SPOP,6.3794,1.3847912746648154,high
6163133,SIDM00890,SPOP,5.2869,-0.06607990425387017,normal
6163241,SIDM01001,SPOP,4.9891,-0.4615668031847491,normal
6163398,SIDM00568,SPOP,4.4647,-1.157984969065718,low
6163589,SIDM01066,SPOP,4.8664,-0.6245159049269209,normal
6163619,SIDM00506,SPOP,5.9006,0.7489312101647996,normal
6163657,SIDM00910,SPOP,6.6833,1.7883791476839348,high
6163685,SIDM00920,SPOP,4.8545,-0.6403194445416871,normal
6163745,SIDM00337,SPOP,3.5801,-2.3327590147146595,low
6163783,SIDM01059,SPOP,4.7618,-0.7634276901121785,normal
6163865,SIDM00881,SPOP,5.7653,0.5692489488305221,normal
6164001,SIDM00795,SPOP,5.3147,-0.029160710868113168,normal
6164027,SIDM00524,SPOP,6.1014,1.0155993408072455,high
6356718,SIDM00892,TWIST1,0.6508,-0.9417797968652926,normal
6356781,SIDM01056,TWIST1,0.0,-1.2610520430701402,low
6356783,SIDM00716,TWIST1,0.546,-0.993193028890904,normal
6356787,SIDM00284,TWIST1,5.8575,1.6125453480560044,high
6356799,SIDM00870,TWIST1,0.0704,-1.2265149101063706,low
6356816,SIDM00890,TWIST1,4.5014,0.947264012655891,normal
6356924,SIDM01001,TWIST1,0.0,-1.2610520430701402,low
6357081,SIDM00568,TWIST1,0.0704,-1.2265149101063706,low
6357272,SIDM01066,TWIST1,4.9561,1.1703326825227383,high
6357302,SIDM00506,TWIST1,0.2016,-1.1621502532193453,low
6357340,SIDM00910,TWIST1,2.852,0.13809430938257242,normal
6357368,SIDM00920,TWIST1,3.591,0.5006360886471429,normal
6357428,SIDM00337,TWIST1,3.1359,0.2773711850702741,normal
6357466,SIDM01059,TWIST1,4.8861,1.1359917832689899,high
6357548,SIDM00881,TWIST1,0.1506,-1.1871700512470762,low
6357684,SIDM00795,TWIST1,3.5862,0.4982812841268857,normal
6357710,SIDM00524,TWIST1,0.4436,-1.0434288586563871,low
6556416,SIDM00892,NCOA3,5.0566,1.3837118761509661,high
6556479,SIDM01056,NCOA3,4.6346,0.9461499340485243,normal
6556481,SIDM00716,NCOA3,3.7814,0.06148678475515291,normal
6556485,SIDM00284,NCOA3,2.6622,-1.0989855507923643,low
6556497,SIDM00870,NCOA3,3.8689,0.15221349075980592,normal
6556514,SIDM00890,NCOA3,2.7592,-0.9984085167072061,normal
6556622,SIDM01001,NCOA3,2.3103,-1.463862440427078,low
6556779,SIDM00568,NCOA3,2.9107,-0.8413217057391496,normal
6556970,SIDM01066,NCOA3,2.7398,-1.0185239235242378,low
6557000,SIDM00506,NCOA3,3.2032,-0.538035288523595,normal
6557038,SIDM00910,NCOA3,3.3406,-0.39556843818028836,normal
6557066,SIDM00920,NCOA3,4.5008,0.8074158396094091,normal
6557126,SIDM00337,NCOA3,2.7268,-1.032003319844929,low
6557164,SIDM01059,NCOA3,2.757,-1.000689645315323,low
6557246,SIDM00881,NCOA3,3.6171,-0.10887204720558415,normal
6557382,SIDM00795,NCOA3,3.332,-0.4044855772847456,normal
6557408,SIDM00524,NCOA3,2.6531,-1.1084211282168484,low
6711603,SIDM00892,RUNX2,1.2327,-0.34612915712399867,normal
6711666,SIDM01056,RUNX2,2.4249,0.5568830272390501,normal
6711668,SIDM00716,RUNX2,0.6135,-0.8151319624902121,normal
6711672,SIDM00284,RUNX2,1.7824,0.07023202199390767,normal
6711684,SIDM00870,RUNX2,1.1506,-0.40831444510940895,normal
6711701,SIDM00890,RUNX2,2.516,0.6258852164652485,normal
6711809,SIDM01001,RUNX2,4.0135,1.7601418395852493,high
6711966,SIDM00568,RUNX2,0.0426,-1.24755073119753,low
6712157,SIDM01066,RUNX2,0.8953,-0.6016872103064282,normal
6712187,SIDM00506,RUNX2,0.7049,-0.7459025432226541,normal
